epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,112.504,0.67811,1.41316,1.17867,0.40741,0.62536,0.48545,0.29822,1.05675,1.66303,1.67194,0.000332824,0.000332824,0.0670504
2,222.717,0.65199,1.23097,1.1619,0.52842,0.47576,0.51896,0.29687,1.32207,1.75179,1.75311,0.000666045,0.000666045,0.0340503
3,330.245,0.60886,1.16404,1.13251,0.57095,0.63951,0.65245,0.48144,0.86928,1.33459,1.36022,0.000998813,0.000998813,0.0010497
