epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2396.03,0.34462,0.47793,0.97404,0.94318,0.89039,0.95279,0.8298,0.54726,0.49964,1.02066,0.000741194,0.000741194,0.000741194
43,2452.5,0.3405,0.47694,0.97147,0.91123,0.93158,0.96068,0.82839,0.54228,0.46142,1.01754,0.000729725,0.000729725,0.000729725
44,2510.75,0.34016,0.48099,0.97293,0.94056,0.91902,0.95985,0.85256,0.50743,0.46539,0.97265,0.000718103,0.000718103,0.000718103
45,2569.5,0.33489,0.46761,0.96965,0.93462,0.91347,0.95922,0.84017,0.52636,0.44718,0.9979,0.000706335,0.000706335,0.000706335
46,2626.92,0.33848,0.45859,0.96781,0.93305,0.92993,0.95968,0.83995,0.53241,0.43356,1.01542,0.000694428,0.000694428,0.000694428
47,2685.97,0.33291,0.45627,0.96795,0.94046,0.92673,0.96017,0.83837,0.54227,0.4634,1.00266,0.000682392,0.000682392,0.000682392
48,2744.2,0.33192,0.4458,0.96653,0.95237,0.95246,0.97043,0.84469,0.55862,0.42845,1.02834,0.000670234,0.000670234,0.000670234
49,2802.39,0.32884,0.44177,0.96674,0.95012,0.92847,0.96851,0.84682,0.51307,0.4319,0.98485,0.000657963,0.000657963,0.000657963
50,2860.61,0.3242,0.43794,0.95999,0.94192,0.92227,0.95878,0.84968,0.50891,0.43523,0.97412,0.000645588,0.000645588,0.000645588
51,2919.36,0.32238,0.43146,0.95935,0.96728,0.92092,0.96455,0.85375,0.5075,0.4227,0.96283,0.000633115,0.000633115,0.000633115
52,2976.58,0.32359,0.42642,0.96325,0.94631,0.9368,0.97073,0.8567,0.49952,0.42262,0.96993,0.000620555,0.000620555,0.000620555
53,3033.66,0.31885,0.41938,0.96012,0.95822,0.89573,0.96531,0.85642,0.49651,0.43826,0.96409,0.000607916,0.000607916,0.000607916
54,3090.3,0.31276,0.41142,0.95466,0.94226,0.93603,0.97217,0.85091,0.50831,0.40981,0.96617,0.000595207,0.000595207,0.000595207
